sentiment,headline
1,finnish financial group aktia reports operating profit of eur 44.4 mn in januaryseptember 2009  up from eur 37.3 mn in the corresponding period in 2008 .
1,finnish high technology provider vaahto group reports net sales of eur 41.8 mn in the accounting period september 2007  february 2008  an increase of 11.2  from a year earlier .
1,net sales of finnish food industry company lænnen tehtaat's continuing operations increased by 13  in 2008 to eur 349.1 mn from eur 309.6 mn in 2007 .
1,an individual promotion also generated slightly higherthanexpected revenues .
1,biohit already services many current genesis customers and the customer base is expected to expand as a result of this agreement .
1,both operating profit and turnover for the threemonth period increased  respectively from eur0 .9 m and eur8 .3 m  as compared to the corresponding period in 2005 .
1,circulation revenue has increased by 5  in finland and 4  in sweden in 2008 .
1,clothing chain seppælæ's net sales increased by 7.0  to eur 30.8 mn .
1,construction volumes meanwhile grow at a rate of 1015 percent annually .
1,finnish and swedish construction markets are still experiencing an estimated 4  annual growth in 2008 .
1,however  biohit estimates its total net sales will continue to grow in 2009  and that favourable trends in net sales will lead to a profit in 2009 .
1,in 2009  fiskars ' cash flow from operating activities amounted to eur121m  up from eur97m in the previous year .
1,in lithuania  operating profit rose to eur 190000 from eur 70000 in the corresponding period in 2005 .
1,in the fourth quarter of 2008  net sales increased by 2  to eur 1050.7 mn from eur 1027.0 mn in the fourth quarter of 2007 .
1,international sales rose by 59.8  to eur 1244.4 mn .
1,net sales grew in the period to  x20ac 402 million  585us million from  x20ac 401 million in 2006 .
1,net sales increased to eur655m in april to june 2010 from eur438m a year earlier .
1,net sales rose by 25.5  yearonyear to eur59 .6 m  as the number of chargers delivered went up by 41  to 65.9 million pieces .
1,net sales totaled eur 93.6 mn  up from eur 93.2 mn in the corresponding period in 2005 .
1,nokia also noted the average selling price of handsets declined during the period  though its mobile phone profit margin rose to more than 22 percent from 13 percent in the yearago quarter .
1,operating profit increased by 145.1  to eur 8.3 mn from eur 3.4 mn .
1,operating profit margin increased from 11.2  to 11.7  .
1,operating profit rose to eur 3.11 mn from eur 1.22 mn in the corresponding period in 2009 .
1,operating profit rose to eur 5mn from eur 2.8 mn in the fourth quarter of 2008 .
1,operating profit was eur 24.5 mn  up from eur 23.0 mn .
1,ramirent's net sales in the second quarterended june 30 were euro 128.7 million about u.s.  163 million  a 3.3percent increase compared with euro 124.6 million for thesecond quarter last year .
1,revenue grew by 2 percent to  x20ac 580 million  743 million  from  x20ac 569 million .
1,ruukki announced that it has signed an agreement with aker solutions of norway to supply 24 suction anchors in september 2010 from its kalajoki unit in finland .
1,ruukki's delivery volumes and selling prices showed favourable development and the company's comparable net sales grew by 50  yearonyear to eur647m  ceo sakari tamminen said .
1,sanoma magazines ' net sales are estimated to grow in 2006 .
1,the bank forecasts finland's gdp will grow by 2  in 2010 and in 2011 .
1,the circuit's overall production rate on a weekly basis is now in excess of an average of 40000 tonnes per day  with volumes in excess of 50000 tonnes per day being reached on individual days .
1,the company's consolidated operating profit amounted to eur 15.86 mn  up from eur 4.14 mn yearonyear .
1,the department store division reported an increase in sales of 4 per cent .
1,the fair value of the company's investment properties grew to eur 2.803 billion at the end of march 2009 from eur 2.691 million a year ago .
1,the last quarter was the best quarter of 2009 in net sales  and the operating margin rose to 12.2  .
1,the major breweries increased their domestic beer sales by 4.5 per cent last year  to 256.88 million litres from 245.92 million litres in 2004 .
1,the transaction doubles tecnomens workforse  and adds a fourth to their net sales .
1,operating profit rose by 26.9  to eur 105.8  83.4  million .
1,after this purchase  cramo will become the second largest rental services provider in the latvian market .
1,the priority for 2009 was to strengthen the company's balance sheet and increase cash flow  '' ceo hannu krook said .
1,the purchase of the operations is part of yit's strategy to expand its offering of building system services geographically . ''
1,21 october 2010  finnish fishing tackle company rapala vmc corp  hel  rap1v  said today its net profit rose to eur18 .9 m for the first nine months of 2010 from eur15 .1 m for the same period a year earlier .
1,according to finnish metso minerals  the value of the company's orders has gone up to eur 1.9 bn in 12 months .
1,finnish aldata solution has signed a contract of supply its g.o.l.d. system to two french retail chains .
1,finnish bank of _land reports its operating profit rose to eur 21.3 mn in the second quarter of 2009 from eur 6.1 mn in the corresponding period in 2008 .
1,finnish financial group aktia's operating profit for 2009 increased to eur 47.0 mn from eur 6.6 mn in 2008 .
1,finnish forest machinery manufacturer ponsse's net sales grew to eur 51.3 mn in the first quarter of 2010 from eur 37.5 mn in the corresponding period in 2009 .
1,finnish kci konecranes has raised its net sales growth estimate for 2006 from over 25  to over 35  .
1,finnish okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and norwegian solar wafer company norsun have signed a contract under which okmetic will supply norsun mono silicon crystals for use in solar cell manufacturing .
1,finnish pharmaceuticals company orion's net sales rose to eur 190mn in the first quarter of 2009 from eur 180mn in the first quarter of 2008 .
1,finnish ponsse has signed an agreement with babcock africa for the distribution and support of ponsse forest machines  harvester heads  and information systems in south africa .
1,south african sappi will become the largest foreign forest industry company operating in finland as a result of the acquisition finnish mreal corporation's graphic papers business unit .
1,according to deputy md pekka silvennoinen the aim is double turnover over the next three years .
1,according to hkscan finland  the plan is to increase jærvisuomen portti's net sales to eur 80mn to eur 100mn .
1,advertising and circulation revenues grew by 3.4  and by 0.4   respectively .
1,after the takeover  cramo will become the second largest rental services provider in the latvian market .
1,again  the most significant sales increase of 18.6  was in russia .
1,alma media expects its net sales to increase as forecast previously .
1,also lemminkæinen's profit for accounting period went up to eur 3.1 mn from eur 24.5 mn a year ago .
1,at the end of march 2007  the group's order book was at eur 39.6 mn  up 42  from the corresponding period in 2006 .
1,at the same time profit of the company increased by 10  in h1 and reached ls 79000 .
1,besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment  '' paavel said .
1,both operating profit and net sales for the 12month period increased  respectively from eur10 .5 m and eur28 .8 m  as compared to the financial year 2004 .
1,both operating profit and net sales for the 12month period increased  respectively from eur20 .8 m and eur177 .7 m  as compared to the financial year 2004 .
1,both operating profit and net sales for the 12month period increased  respectively from eur21 .5 m and eur196 .1 m  as compared to 2005 .
1,both operating profit and net sales for the 12month period increased  respectively from eur4 .7 m and eur26 .7 m  as compared to 2004 .
1,both operating profit and net sales for the ninemonth period increased  respectively by 26.6  and 3.4   as compared to the corresponding period in 2006 .
1,both operating profit and net sales for the sixmonth period increased  respectively  from eur13 .8 m and eur143 .6 m  as compared to the corresponding period in 2007 .
1,both operating profit and net sales for the sixmonth period increased  respectively from eur0 .4 m and eur3 .2 m  as compared to the corresponding period in 2005 .
1,both operating profit and net sales for the sixmonth period increased  respectively from eur18 .1 m and eur127 .6 m  as compared to the corresponding period in 2006 .
1,both operating profit and net sales for the sixmonth period increased  respectively from eur7 .5 m and eur655 .5 m  as compared to the corresponding period in 2005 .
1,both operating profit and net sales for the threemonth period increased  respectively from eur15 .1 m and eur131 .5 m  as compared to the corresponding period in 2005 .
1,both operating profit and net sales for the threemonth period increased  respectively from eur16 .0 m and eur139m  as compared to the corresponding quarter in 2006 .
1,both operating profit and sales for the threemonth period increased  respectively from eur0 .3 m and eur13 .1 m  as compared to the corresponding period in 2005 .
1,both operating profit and turnover for the ninemonth period increased  respectively from eur2 .4 m and eur43 .8 m  as compared to the corresponding period a year ago .
1,both operating profit and turnover for the sixmonth period increased  respectively  from eur17 .6 m and eur1149 .9 m  as compared to the corresponding period in 2007 .
1,both operating profit and turnover for the sixmonth period increased  respectively from eur0 .1 m and eur29 .0 m  as compared to the corresponding period a year ago .
1,cargo volume grew by 7  .
1,cargo volume increased by approximately 5  .
1,comparable operating profit totaled eur 854mn  up from eur 730mn in 2004 .
1,digia said its consolidated net sales for januaryjune 2010 were eur67 .8 m  up 9.7  on the same period in 2009  eur61 .9 m  .
1,diluted earnings per share  eps  rose to eur 0.29 from eur 0.05 .
1,diluted earnings per share  eps  rose to eur 0.52 versus eur 0.09 .
1,diluted earnings per share  eps  rose to eur 1.05 from eur 0.64 .
1,diluted earnings per share  eps  rose to eur 3.68 from eur 0.50 .
1,diluted eps rose to eur3 .68 from eur0 .50 .
1,ebit margin was up from 1.4  to 5.1  .
1,eps for the quarter was eur0 .00  as compared with eur0 .01 in the third quarter of 2008  representing a group net sales for the third quarter were eur15 .3 m  up by 2.8  as compared with eur14 .9 m in the third quarter of 2008 .
1,eps from continuing operations came in at 0.30 eur  up from 0.17 .
1,equity ratio was 60.9  compared to 54.2  in the third quarter of 2007  net sales of the frozen foods business totaled eur 11.0  up by about 5  from the third quarter of 2006 .
1,eur928 000 in q1 2010 6 may 2010  finnish textile and clothing design company marimekko oyj  hel  mmo1v  said today its net profit rose to eur928 000 in the first quarter of 2010 from eur13 000 in the corresponding period a year earlier .
1,finlandbased elcoteq se  a privately held provider of electronics manufacturing services to communications companies  said thursday it signed a longterm manufacturing supply deal with communications equipment company andrew corp. .
1,finnish cutlery and hand tools maker fiskars oyj abp  hel  fisas  said today its net profit rose to eur 24.1 million  usd 33.6 m  in the third quarter of 2010 from eur 17.9 million a year earlier .
1,finnish department store chain stockmann oyj abp net profit rose to 39.8 mln euro   56.8 mln  for the first nine months of 2007 from 37.4 mln euro   53.4 mln  for the same period of 2006 .
1,finnish lifting equipment maker konecranes oyj said on july 30  2008 that its net profit rose to 71.2 mln euro   111.1 mln  for the first half of 2008 from 57.1 mln euro   89.1 mln  for the same period of 2007 .
1,finnish messaging solutions developer tecnomen corporation  omx helsinki  tem1v  said on thursday  11 december  that it has received an expansion order for its convergent charging solution in latin america .
1,finnish metal industry solutions supplier outotec oyj net profit rose to 50.4 mln euro   72.5 mln  for the first nine months of 2007 from 20.1 mln euro   28.9 mln  for the same period of 2006 .
1,finnish metal products company componenta oyj net profit rose to 26.1 mln euro   35.9 mln  for the first quarter of 2007 from 5.3 mln euro   7.3 mln  for the same period of 2006 .
1,finnish office supplies and computer accessories dealer belttongroup plc said its net profit rose to 1.3 mln euro   1.7 mln  in 2006 from 1.13 mln euro   1.5 mln  in 2005 .
1,finnish security and privacy software solutions developer stonesoft oyj said on january 7  2008 that the preliminary sales of its stonegate products grew by 59 pct yearonyear to 3.6 mln euro   5.3 mln  for the fourth quarter of 2007 .
1,finnish silicon wafer technology company okmetic oyj  omx helsinki  okm1v  reported on thursday  7 august  an operating profit of eur5 .3 m for the period januaryjune 2008  up from eur3 .3 m in the corresponding period in 2007 .
1,finnish software developer done solutions oyj said its net profit increased to 3.5 mln euro   4.6 mln  in 2006 from 2.3 mln euro   3.0 mln  in 2005 .
1,first quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .
1,following the acquisition  relacom will strengthen its presence in finland  serving operators and office market with mobile and fixed networks construction  installation and maintenance services .
1,for the first nine months of 2010  the company's net profit rose to eur41m from eur30m for the corresponding period of 2009 .
1,helsinki  afx   retail and wholesale group kesko reported net sales of 659.4 mln eur for february  an increase of 10.8 pct yearonyear .
1,however  net sales in 2010 are seen to have grown to eur598 .3 m from eur582 .3 m in 2009 .
1,however  sales returned to growth in apriljune 2010  ceo pekka eloholma said .
1,ragutis  which is controlled by the finnish brewery  reported a 5.4percent rise in beer sales to 10.44 million litres and held an 11.09percent market share .
1,svyturysutenos alus  which is controlled by the nordic group baltic beverages holding  bbh   posted a 4.7percent growth in beer sales for januarymay to 46.22 million litres .
1,in addition  kone signed a twoyear maintenance contract for the escalators .
1,in december alone  the members of the lithuanian brewers ' association sold a total of 20.3 million liters of beer  an increase of 1.9 percent from the sales of 19.92 million liters in december 2004 .
1,in januaryseptember 2009  the group's net interest income increased to eur 112.4 mn from eur 74.3 mn in januaryseptember 2008 .
1,in q1 of 2010  bank of _land's net interest income increased from eur 9.1 mn to eur 9.7 mn .
1,in sweden  operating profit for the period under review totaled eur 3.4 mn  up 30.8  from the corresponding period in 2005 .
1,in the fourth quarter of 2009  orion's net profit went up by 33.8  yearonyear to eur33m .
1,in the second quarter of 2010  the group's net profit rose to eur 3.1 million from eur 2.5 million in apriljune 2009 .
1,in the second quarter of 2010  the group's net profit rose to eur3 .1 m from eur2 .5 m in apriljune 2009 .
1,in the third quarter  net sales increased by 12  yearonyear to eur 159.5 million  or by 6  at comparable currency rates growth .
1,in the third quarter  net sales increased by 12  yearonyear to eur159 .5 m  or by 6  at comparable currency rates growth .
1,its market share widened to 48.51 percent from 48.31 percent a year earlier .
1,kesko agro eesti  the retailer and wholesaler of grain  agricultural and warehousing machinery and accessories  had net sales of 81 million euros in 2007  an increase by onetenth over the preceding year .
1,kesko's car import and retailing business  vvauto  saw sales grow by 17.1 pct .
1,kone's net sales rose by some 14  yearonyear in the first nine months of 2008 .
1,adp news   feb 11  2009  finnish management software solutions provider ixonos oyj  hel  xns1v  said today its net profit rose to eur 3.5 million  usd 4.5 m  for 2008 from eur 3.1 million for 2007 .
1,adp news   feb 12  2009  finnish it solutions provider affecto oyj  hel  afe1v  said today its net profit rose to eur 8.5 million  usd 11m  in 2008 from eur 7 million in 2007 .
1,adp news   feb 6  2009  finnish fishing tackle company rapala vmc corp  hel  rap1v  said today its net profit rose to eur 19.2 million  usd 24.6 m  for 2008 from eur 17.5 million for 2007 .
1,adp news   nov 5  2008  finnish electronic measurement products and solutions maker vaisala oyj  omx  vaias  said today that its net profit rose to eur 18 million  usd 23.1 m  for the first nine months of 2008 from eur 1
1,adp news   oct 29  2008  finnish lifting equipment maker konecranes oyj  omx  kcr1v  said today that its net profit rose to eur 116.6 million  usd 149.1 m  in the first nine months of 2008 from eur 73.6 million for the s
1,metso expects its net sales to increase by about 10  in 2008  at comparable exchange rates .
1,neste oil corp. has signed longterm procurement contracts with honkajoki oy and findest protein oy  both owned by finnish food manufacturers  for the supply of animal fat for biodiesel production at neste's 200000 bcd porvoo  finland  refinery .
1,net interest income increased by 4.5  to eur 31.4 mn from eur 30.0 mn in 2004 .
1,net interest income was eur 152.2 mn  up from eur 101.0 mn in 2008 .
1,net interest income was eur 39.3 mn  up from eur 32.7 mn .
1,net sales of the vegetable oil business rose to eur 10.6 mn from eur 10.1 mn .
1,nokia multimedia's net sales totaled eur 5.7 bn  up 45  from the corresponding period in 2005 .
1,operating income rose to eur 696.4 mn from eur 600.3 mn in 2009 .
1,operating profit of kauppalehti group rose to eur 1.5 mn from eur 1.3 mn  and that of marketplaces to eur 1.3 mn from eur 1.0 mn in the third quarter of 2006 .
1,operating profit rose from eur 1.94 mn to eur 2.45 mn .
1,operating profit rose to 22.1 mln eur from 19.9 mln .
1,operating profit rose to eur 1.6 mn from eur 1.1 mn in the corresponding period in 2006 .
1,operating profit rose to eur 103.4 mn from eur 23.2 in the corresponding period in 2006 .
1,operating profit rose to eur 13.5 mn from eur 9.7 mn in the corresponding period in 2006 .
1,operating profit rose to eur 26.7 mn from eur 14.9 mn in the corresponding period in 2006 .
1,operating profit rose to eur 27.8 mn from eur 17.5 mn in 2008 .
1,operating profit rose to eur 3.2 mn from eur 1.0 mn in the corresponding period in 2008 .
1,operating profit rose to eur 4.7 mn from eur 3.6 mn .
1,operating profit rose to eur 4.7 mn from eur 4.6 mn .
1,operating profit rose to eur 9.2 mn from eur 6.8 mn in the corresponding period in 2007 .
1,operating profit rose to eur2 .4 m from eur1 .6 m year earlier .
1,operating profit surged to eur21m from eur106 000 .
1,operating profit totaled eur 377 mn  up slightly from eur 37.2 mn in the corresponding period in 2006 .
1,operating profit totaled eur 5.5 mn  up from eur 0.7 mn .
1,operating profit was eur 11.4 mn  up from eur 7.5 mn .
1,operating profit was eur 139.7 mn  up 23  from eur 113.8 mn .
1,order intake grew by 40  yearonyear and 30  yearonyear  respectively  to eur 576 million and eur 1.7 billion for the respective januaryseptember and julyseptember 2010 periods .
1,orders received grew by 55  yearonyear to eur732m .
1,orion pharma's operating profit increased by 42.5  from 2004 .
1,passenger volumes rose by 8.4  in the accounting period .
1,passengerrelated revenue rose by 5.1  to eur 460.8 mn from eur 438.5 mn in 2009 .
1,press release 9 october 2009 ruukki has signed a contract to deliver and install the steel structures for a bridge over the kyronsalmi strait in savonlinna  finland .
1,pretax profit rose to eur 0.6 mn from eur 0.4 mn in the corresponding period in 2005 .
1,pretax profit rose to eur 1019 mn from eur 1007 in the corresponding period in 2005 .
1,pretax profit rose to eur 17.8 mn from eur 14.9 mn in 2005 .
1,pretax profit totaled eur 397.4 mn  up from eur 164.7 mn .
1,previously  the company had guided for ebit and sales growth of 20 pct and 10 pct respectively for this year .
1,previously the company has estimated its operating profit to reach the level of 2005 only .
1,profit for the period totaled eur 39.4 mn  up from eur 33.9 mn in the corresponding period in 2006 .
1,profit for the period was eur 5.9 mn  up from eur 1.3 mn .
1,profit for the period was eur 9.8 mn  up from eur 6.0 mn in 2004 .
1,revenue grew 12 percent to   x20ac  3.6 billion  us 4.5 billion  .
1,revenue in july to september grew 14 percent to  euro  467 million from a year earlier  the company said thursday .
1,revenues at the same time grew 14 percent to 43 million euros .
1,ruukki has signed a contract to deliver and install the steel structures for a bridge over the kyronsalmi strait in savonlinna  finland .
1,sales in latin america increased by 42  to eur 432mn  and a total of 8.7 mn mobile devices were sold in the area  representing an increase of 32  from the corresponding period in 2009 .
1,sales of clothing developed best .
1,sanoma magazines finland's net sales grew to eur 140.1 mn from eur 131.8 mn .
1,satama's net profit for the third quarter of 2007 rose to 275000 euro   395000  from 270000 euro   388000  for the same period of 2006 .
1,section  regional news  the demand in finnair's asian traffic  measured in passenger kilometers  was up 34.9  in august compare to last year .
1,svyturysutenos alus  which is controlled by the nordic group baltic beverages holding  bbh   posted a 6.1 percent growth in beer sales for januaryseptember to 101.99 million liters .
1,that would be an increase from estimated sales of 117 million last year .
1,the agreement expands tekla structures ' scope of use to bridge design .
1,the aim is to increase sales by at least one fifth in 2006 .
1,the chain posted sales of 298 million euros for full 2005  a rise of 19.5 percent  yearonyear .
1,the company expects its net sales in 2008 to increase 510  from 2007 .
1,the company expects its net sales in the first half of 2008 to reach the previous year's level .
1,the company is in the process of building a new fleet and has placed orders for 10 pmax tankers of 65200 dwt .
1,the company's operating income  ebit  totalled eur 0.0 mn  up from eur 0.3 mn yearonyear .
1,the eps outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .
1,the fair value of the investment properties totaled eur 2534.9 mn  up from eur 2455.1 mn in 2006 .
1,the finnish government announced wednesday that it sold a 32 percent stake in chemicals and fertilizer group kemira oyj for   x20ac  655.6 million   890us million   sending the company's share price up 6 percent .
1,the german company has also signed a code share agreement with another oneworld member  american airlines inc  part of usbased amr corp  nyse  amr  .
1,the helsinkibased company  which also owns the salomon  atomic and suunto brands  said net profit rose 15 percent in the three months through dec. 31 to   x20ac  47 million   61us million   from   x20ac  40.8 million a year earlier .
